CNEXT	Sample	CGT	Transform	UCSF Internal Cancer Registrar Field	Anonymized Public Field	Consent Category	Comment	Comments Ann	
				Surgery of Other Regional Site(s), Distant Site(s), or Distant Lymph	Surgery of Other Regional Site(s), Distant Site(s), or Distant Lymph	Health: Summary of previous treatmets			
				Node(s) Procedures 1-3	Node(s) Procedures 1-3	Health: Summary of treatments peformed at UCSF			
				Surgery of Other Regional Site(s), Distant Site(s), or Distant Lymph	Surgery of Other Regional Site(s), Distant Site(s), or Distant Lymph	Health: Summary of treatments peformed at UCSF			
				Node(s)Summary	Node(s)Summary	Health: Disease staging			
				Surgery of Other Site Summary 98-02	Surgery of Other Site Summary 98-02	Health: Summary of treatments peformed at UCSF			
				Surgery of Primary Site 98-02 Summary	Surgery of Primary Site 98-02 Summary	Health: Summary of treatments peformed at UCSF			
				Surgery of Primary Site Procedures 1-3	Surgery of Primary Site Procedures 1-3	Health: Summary of treatments peformed at UCSF			
				Surgery of Primary SiteSummary	Surgery of Primary SiteSummary	Health: Summary of treatments peformed at UCSF			
				Surgery Summary Diagnostic or Staging Procedure	Surgery Summary Diagnostic or Staging Procedure	Health: Summary of treatments peformed at UCSF			
				Surgery Summary Reconstructive	Surgery Summary Reconstructive	Health: Summary of treatments peformed at UCSF			
				Surgical Margins Procedures 1-3	Surgical Margins Procedures 1-3	Health: Summary of treatments peformed at UCSF			
				Surgical Margins Summary	Surgical Margins Summary	Health: Summary of treatments peformed at UCSF			
				Systemic/Surgery Sequence	Systemic/Surgery Sequence	Health: Summary of treatments peformed at UCSF			
				Text DxProc Lab Tests			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text DxProc Operative			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text DxProc Pathological			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text DxProc PE			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text DxProc Scopes			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text DxProc Xray			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text Remarks			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Chemotherapy			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Hormone Therapy			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Immunotherapy			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Other Therapy			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Radiation (Beam)			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Radiation (Other)			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Radiation Boost RX Modality			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Radiation Regional RX Modality			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				Text RX Surgery			Removed as potentially PHI	Not necessarily PHI but may contain info re: other facility (rare)	
				TNM Coder (Clinical)	TNM Coder (Clinical)	Health: Diagnosis			
				TNM Coder (Path)	TNM Coder (Path)	Health: Diagnosis			
				TNM Edition	TNM Edition	Health: Diagnosis			
				TNM M Code (Clinical)	TNM M Code (Clinical)	Health: Diagnosis			
				TNM M Code (Path)	TNM M Code (Path)	Health: Diagnosis			
				TNM N Code (Clinical)	TNM N Code (Clinical)	Health: Diagnosis			
				TNM N Code (Path)	TNM N Code (Path)	Health: Diagnosis			
				TNM Stage (Clinical)	TNM Stage (Clinical)	Health: Diagnosis			
				TNM Stage (Path)	TNM Stage (Path)	Health: Diagnosis			
				TNM T Code (Clinical)	TNM T Code (Clinical)	Health: Diagnosis			
				TNM T Code (Path)	TNM T Code (Path)	Health: Diagnosis			
				Transplant/Endocrine Procedures At This Hospital	Transplant/Endocrine Procedures At This Hospital	Health: Summary of treatments peformed at UCSF			
				Transplant/Endocrine Procedures Summary	Transplant/Endocrine Procedures Summary	Health: Summary of treatments peformed at UCSF			
				Treatment Hospital Number-Procedure 1-3	Treatment Hospital Number-Procedure 1-3	Health: Summary of treatments peformed at UCSF			
				Treatment Status	Treatment Status	Health: Summary of treatments peformed at UCSF			
				Tumor Marker-CA-1	Tumor Marker-CA-1	Health: Disease staging			
				Tumor Markers 1-3	Tumor Markers 1-3	Health: Disease staging			
				Tumor Size	Tumor Size	Health: Disease staging			
				Tumor Status	Tumor Status	Health: Disease staging			
				Type of Admission	Type of Admission	?			
				Type of Reporting Source	Type of Reporting Source	?			
				Vendor Version	Vendor Version	?		software code	
				Vital Status	Vital Status	Health: Disease staging			
				Year First Seen	Year First Seen	Dates:Year treatment began			
